full_name,H,albedo,a,e,i,long_node,arg_peri,anomaly,peri,apo,period
   433 Eros (A898 PA),10.43,0.25,1.458124978,0.22291366,10.83050402,304.2987826,178.8630847,132.7701638,1.133089002,1.783160954,1.76076066
   719 Albert (A911 TB),15.51,,2.638030363,0.546867624,11.57324984,183.8547682,156.2074111,231.2977977,1.195376967,4.080683758,4.284773673
   887 Alinda (A918 AA),13.87,0.31,2.473668672,0.570458792,9.393753932,110.4327678,350.507583,34.89945747,1.06254263,3.884794714,3.890635056
  1036 Ganymed (A924 UB),9.25,0.238,2.665548235,0.533129233,26.6756432,215.5328165,132.3995837,94.49094272,1.24446655,4.086629921,4.351991326
  1221 Amor (1932 EA1),17.39,,1.918758591,0.435732963,11.88292067,171.31857,26.65518593,185.3656919,1.082692224,2.754824957,2.657900434
  1566 Icarus (1949 MA),16.35,0.51,1.078113049,0.827002577,22.81198495,87.98055048,31.41889965,180.7299315,0.186510779,1.969715318,1.119449885
  1580 Betulia (1950 KA),14.69,0.08,2.197425358,0.487187087,52.07911563,62.29484852,159.5104086,314.9027475,1.1268681,3.267982617,3.257462316
  1620 Geographos (1951 RA),15.3,0.29,1.24559671,0.335448739,13.33760285,337.1854415,276.9524057,155.863228,0.827762864,1.663430555,1.390190706
  1627 Ivar (1929 SH),12.67,0.15,1.863128734,0.396845322,8.452118748,133.1192976,167.7938914,49.97307514,1.123754812,2.602502656,2.543153053
  1685 Toro (1948 OA),14.34,0.31,1.367465387,0.435917806,9.382661961,274.2374118,127.2161644,174.310539,0.771362876,1.963567898,1.599126115
  1862 Apollo (1932 HA),16.1,0.25,1.470258426,0.560002505,6.355278839,35.61184033,286.0053741,307.4288816,0.646910025,2.293606827,1.782783958
  1863 Antinous (1948 EA),15.4,0.24,2.258902323,0.606198741,18.39884045,346.4268139,268.0933509,184.7887013,0.889558578,3.628246067,3.395114147
  1864 Daedalus (1971 FA),14.72,0.273,1.46088892,0.614518931,22.2138953,6.618070751,325.6445074,82.27319181,0.563145023,2.358632817,1.765769435
  1865 Cerberus (1971 UA),16.73,0.22,1.080050193,0.466989091,16.09670508,212.9074963,325.253098,351.0714019,0.575678535,1.584421851,1.122468366
  1866 Sisyphus (1972 XA),12.44,0.15,1.893432024,0.538305829,41.20353332,63.47452782,293.0749285,253.9728099,0.874186529,2.912677519,2.605450218
  1915 Quetzalcoatl (1953 EA),18.97,0.21,2.544187697,0.570695103,20.40452654,162.9355159,347.8165016,351.8334866,1.092232237,3.996143156,4.058185777
  1916 Boreas (1953 RA),14.88,,2.272487658,0.449808152,12.88280078,340.5980403,335.9037147,293.5508984,1.250304183,3.294671133,3.425788145
  1917 Cuyo (1968 AA),14.32,0.195,2.149419279,0.505411898,23.95837473,188.2904473,194.495543,18.50770913,1.063077202,3.235761355,3.15130118
  1943 Anteros (1973 EC),15.65,0.17,1.430526801,0.255891619,8.705351699,246.3250219,338.387079,56.34306663,1.064466983,1.796586619,1.711008631
  1980 Tezcatlipoca (1950 LA),13.8,0.25,1.709456344,0.364752968,26.8674964,246.5618718,115.4579744,224.1962237,1.085927069,2.332985619,2.235091071
  1981 Midas (1973 EA),15.22,,1.776284084,0.650279635,39.83047235,356.8612097,267.8258908,117.5993309,0.621202717,2.93136545,2.367428321
  2059 Baboquivari (1963 UA),15.97,,2.643633759,0.531196028,11.01768903,200.684146,192.4199623,135.1217419,1.239346007,4.047921511,4.298432745
  2061 Anza (1960 UA),16.36,,2.263994535,0.536042579,3.800318791,207.3776303,157.0336865,295.1241789,1.050397066,3.477592004,3.406600953
  2062 Aten (1976 AA),17.1,0.26,0.966900035,0.182809402,18.93485316,108.5437615,148.0559703,169.9967002,0.790141617,1.143658452,0.950781157
  2063 Bacchus (1977 HB),17.25,0.203,1.078122569,0.349409596,9.430850783,33.07548707,55.36714141,262.4104989,0.701416197,1.45482894,1.119464712
  2100 Ra-Shalom (1978 RA),16.24,0.13,0.83202778,0.436608655,15.75384657,170.798223,356.0600972,326.0247117,0.46875725,1.19529831,0.758953107
  2101 Adonis (1936 CA),18.64,,1.874101944,0.764044861,1.322061846,349.4983425,43.59754599,128.2631341,0.442203984,3.305999903,2.565653593
  2102 Tantalus (1975 YA),16.01,0.245,1.290097787,0.299298139,64.00399967,94.36047616,61.52852343,348.3653584,0.90397392,1.676221654,1.465352629
  2135 Aristaeus (1977 HA),18.02,,1.599553445,0.503202216,23.07103321,191.1276519,290.9951658,335.7536933,0.794654606,2.404452283,2.02304869
  2201 Oljato (1947 XC),15.25,0.4328,2.174455186,0.712952378,2.522443556,74.98656586,98.23640925,324.9041923,0.624172189,3.724738183,3.206519569
  2202 Pele (1972 RA),17.11,,2.290601348,0.512434789,8.74308502,169.9307304,217.8959623,13.76037689,1.116817529,3.464385167,3.466829395
  2212 Hephaistos (1978 SB),13.33,0.163,2.15934008,0.837474485,11.5458833,27.52122075,209.4097416,171.9270666,0.350947859,3.967732302,3.173143926
  2329 Orthos (1976 WA),14.47,,2.408916082,0.654122028,24.47518547,169.2762638,146.0543862,8.730746734,0.83319101,3.984641154,3.738872959
  2340 Hathor (1976 UA),20.2,,0.843834606,0.449844758,5.859431172,211.3245552,40.08716639,322.3357243,0.464240032,1.223429181,0.77516508
  2368 Beltrovata (1977 RA),15.09,0.27,2.105494385,0.413332782,5.223095612,287.3377395,43.03943466,130.1734546,1.235224533,2.975764237,3.055197807
  2608 Seneca (1978 DA),17.48,0.21,2.516901438,0.570772227,14.67195467,167.3331632,37.36948795,337.9077008,1.080323998,3.953478879,3.993075444
  3102 Krok (1981 QA),16.15,,2.151068735,0.449449135,8.44395938,172.052838,154.7770022,225.536577,1.184272753,3.117864718,3.154929322
  3103 Eger (1982 BB),15.2,0.64,1.404235687,0.354240131,20.93119998,129.752628,254.0596737,310.8784758,0.906799053,1.901672321,1.664057049
  3122 Florence (1981 ET3),14.04,0.231,1.768841982,0.42316009,22.14510039,336.0636516,27.85235836,216.3086286,1.02033865,2.517345313,2.352565685
  3199 Nefertiti (1982 RA),14.84,0.42,1.574454732,0.284158653,32.964247,339.9907955,53.41598057,198.3365406,1.127059797,2.021849668,1.975620256
  3200 Phaethon (1983 TB),14.32,0.1066,1.271348357,0.889789675,22.2571,265.2199433,322.1801784,141.22599,0.140115715,2.402580999,1.433524275
  3271 Ul (1982 RB),16.55,,2.101375424,0.395993928,25.07546565,158.8137732,159.1123018,274.9581675,1.269243516,2.933507333,3.046236907
  3288 Seleucus (1982 DV),15.26,0.22,2.032461278,0.45630722,5.93140958,218.6244991,349.3062674,191.8316506,1.105034522,2.959888033,2.897621281
  3352 McAuliffe (1981 CW),15.82,,1.879461652,0.368903238,4.77095417,107.3485335,16.0770486,247.0348034,1.186122163,2.572801141,2.576667654
  3360 Syrinx (1981 VA),15.94,0.17,2.466092755,0.746051896,21.15563785,242.5427791,63.48902649,103.3702956,0.62625958,4.30592593,3.87277542
  3361 Orpheus (1982 HR),19.03,0.357,1.210385151,0.322994597,2.677914785,189.1507549,301.9377768,213.3637441,0.819437287,1.601333016,1.3316607
  3362 Khufu (1984 QA),18.3,0.21,0.989521052,0.468497999,9.917251232,152.4319371,55.04828263,234.3405288,0.52593242,1.453109685,0.98434142
  3551 Verenia (1983 RD),16.65,0.37,2.092873973,0.487078623,9.50949034,173.7811939,193.2599319,171.0812876,1.073479801,3.112268145,3.027769557
  3552 Don Quixote (1983 SA),12.96,0.03,4.262378281,0.708809907,31.09360793,349.928935,316.5612229,128.8142557,1.241162329,7.283594233,8.800071234
  3553 Mera (1985 JA),16.38,,1.6446021,0.320087523,36.76787534,232.5249093,288.8679964,87.00588442,1.118185487,2.171018712,2.109111127
  3554 Amun (1986 EB),15.82,0.074,0.973992648,0.280624327,23.35742403,358.6076069,359.4023029,72.08920137,0.700666616,1.24731868,0.96126188
  3671 Dionysus (1984 KD),16.48,0.16,2.198703855,0.541495304,13.53221319,82.08704974,204.2778547,127.7171551,1.008116042,3.389291668,3.260305594
  3691 Bede (1982 FT),14.77,0.515,1.774150512,0.284240932,20.36140843,348.7433418,234.9184848,203.1879478,1.269864318,2.278436706,2.363164172
  3752 Camillo (1985 PA),15.23,0.21,1.413545121,0.301617408,55.56496762,147.9626986,312.2456428,22.65793468,0.987195305,1.839894937,1.680632339
  3753 Cruithne (1986 TO),15.57,0.365,0.997717792,0.514932169,19.80693468,126.2200107,43.84406906,198.1085394,0.483960805,1.511474778,0.996597464
  3757 Anagolay (1982 XB),18.9,0.18,1.834347354,0.446093937,3.867410805,74.95938183,17.21953468,176.2182205,1.016056121,2.652638586,2.48445176
  3838 Epona (1986 WA),15.58,,1.504998356,0.70243662,29.20072397,235.4837936,49.71974377,302.9767217,0.447832397,2.562164314,1.846342389
  3908 Nyx (1980 PA),17.35,0.23,1.927950535,0.459001284,2.185201722,261.2404766,126.5794493,82.3540309,1.043018764,2.812882306,2.677022571
  3988 Huma (1986 LA),17.8,,1.544404875,0.316733237,10.76757862,229.8057456,86.90575422,58.12689661,1.05524052,2.03356923,1.91933131
  4015 Wilson-Harrington (1979 VA),16.02,0.05,2.625200605,0.63158162,2.798701723,266.7905245,95.41029245,262.7481363,0.967172155,4.283229054,4.253553951
  4034 Vishnu (1986 PA),18.34,0.52,1.059632132,0.444005695,11.16826385,157.9065309,296.7042711,252.3717346,0.589149431,1.530114833,1.09078933
