,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
360,78,81,86,89,96,100,119,169,200,250,230,400,630,1020,1820,6170,15800,89100,759000000,89100,15800,6170,1820,1020,630,400,230,250,200,169,119,100,96,89,86,81,78
355,78,81,86,89,96,100,116,143,166,205,250,350,575,980,1350,2880,4470,10700,140000,10700,4470,2880,1350,980,575,350,250,205,166,143,116,100,96,89,86,81,78
350,78,81,86,89,96,101,115,137,158,190,230,320,520,810,1100,2000,2950,5890,29000,5890,2950,2000,1100,810,520,320,230,190,158,137,115,101,96,89,86,81,78
345,78,81,86,89,96,102,115,134,151,180,210,295,470,710,950,1580,2190,3800,12000,3800,2190,1580,950,710,470,295,210,180,151,134,115,102,96,89,86,81,78
340,78,81,86,89,96,102,115,132,148,175,200,280,430,600,850,1260,1700,2880,6100,2880,1700,1260,850,600,430,280,200,175,148,132,115,102,96,89,86,81,78
335,78,81,86,89,96,103,114,131,145,170,195,260,390,500,740,1050,1445,2190,3700,2190,1445,1050,740,500,390,260,195,170,145,131,114,103,96,89,86,81,78
330,78,81,84,89,95,101,115,126,143,164,191,240,331,457,635,881,1200,1710,2330,1710,1200,881,635,457,331,240,191,164,143,126,115,101,95,89,84,81,78
325,78,80,85,88,94,100,109,120,136,152,178,219,288,380,504,676,910,1200,1595,1200,910,676,504,380,288,219,178,152,136,120,109,100,94,88,85,80,78
320,78,81,88,93,100,107,118,132,148,166,190,216,263,328,406,507,655,871,1185,871,655,507,406,328,263,216,190,166,148,132,118,107,100,93,88,81,78
315,78,81,85,91,98,106,119,133,150,163,185,209,241,288,351,427,552,714,945,714,552,427,351,288,241,209,185,163,150,133,119,106,98,91,85,81,78
310,78,81,86,91,98,107,118,132,147,163,180,202,230,269,320,387,479,603,745,603,479,387,320,269,230,202,180,163,147,132,118,107,98,91,86,81,78
305,78,81,85,91,98,106,117,131,145,162,182,204,224,251,284,337,406,502,600,502,406,337,284,251,224,204,182,162,145,131,117,106,98,91,85,81,78
300,78,81,85,89,95,100,109,119,132,148,168,189,214,238,269,309,361,430,500,430,361,309,269,238,214,189,168,148,132,119,109,100,95,89,85,81,78
295,78,83,84,87,94,100,109,118,131,145,162,183,205,233,262,295,332,376,425,376,332,295,262,233,205,183,162,145,131,118,109,100,94,87,84,83,78
290,78,81,87,91,96,104,114,125,138,152,168,185,205,225,249,275,302,336,370,336,302,275,249,225,205,185,168,152,138,125,114,104,96,91,87,81,78
285,78,83,85,89,95,104,113,123,135,147,159,175,190,207,225,245,269,294,320,294,269,245,225,207,190,175,159,147,135,123,113,104,95,89,85,83,78
280,78,81,88,95,101,108,116,123,132,141,151,162,174,188,205,225,248,268,290,268,248,225,205,188,174,162,151,141,132,123,116,108,101,95,88,81,78
275,78,83,85,91,95,103,111,118,127,138,148,159,173,186,200,214,230,247,265,247,230,214,200,186,173,159,148,138,127,118,111,103,95,91,85,83,78
270,78,83,89,95,101,108,115,123,131,140,149,159,170,181,193,206,220,234,250,234,220,206,193,181,170,159,149,140,131,123,115,108,101,95,89,83,78
265,78,83,88,94,100,106,113,120,127,135,144,153,163,173,184,196,208,221,235,221,208,196,184,173,163,153,144,135,127,120,113,106,100,94,88,83,78
260,78,83,88,93,98,104,110,117,124,131,139,147,156,165,175,185,196,208,220,208,196,185,175,165,156,147,139,131,124,117,110,104,98,93,88,83,78
255,78,83,87,92,97,103,109,115,121,128,135,143,151,160,169,178,188,199,210,199,188,178,169,160,151,143,135,128,121,115,109,103,97,92,87,83,78
250,78,82,87,91,96,101,107,112,119,125,132,139,146,154,162,171,180,190,200,190,180,171,162,154,146,139,132,125,119,112,107,101,96,91,87,82,78
245,78,82,86,91,95,100,105,111,116,122,129,135,142,149,157,165,173,182,191,182,173,165,157,149,142,135,129,122,116,111,105,100,95,91,86,82,78
240,78,82,86,90,95,100,105,110,116,122,128,134,141,148,156,164,172,181,190,181,172,164,156,148,141,134,128,122,116,110,105,100,95,90,86,82,78
235,78,82,85,89,94,99,102,107,112,117,123,129,135,141,148,154,162,169,177,169,162,154,148,141,135,129,123,117,112,107,102,99,94,89,85,82,78
230,78,82,85,89,93,97,102,106,111,116,121,127,133,139,145,151,158,166,173,166,158,151,145,139,133,127,121,116,111,106,102,97,93,89,85,82,78
225,78,81,83,88,92,96,100,104,109,113,118,123,128,133,139,145,151,157,165,157,151,145,139,133,128,123,118,113,109,104,100,96,92,88,83,81,78
220,78,81,83,86,89,92,95,99,102,106,109,115,121,127,133,140,147,155,164,155,147,140,133,127,121,115,109,106,102,99,95,92,89,86,83,81,78
215,78,80,83,85,88,91,93,96,99,102,105,112,118,125,132,139,147,156,165,156,147,139,132,125,118,112,105,102,99,96,93,91,88,85,83,80,78
210,78,80,83,85,88,90,93,96,99,102,105,111,117,124,131,139,149,158,167,158,149,139,131,124,117,111,105,102,99,96,93,90,88,85,83,80,78
205,78,80,83,86,88,91,94,97,100,103,106,113,120,128,136,141,151,161,169,161,151,141,136,128,120,113,106,103,100,97,94,91,88,86,83,80,78
200,78,80,83,86,89,92,95,99,101,105,109,115,121,129,138,147,154,165,173,165,154,147,138,129,121,115,109,105,101,99,95,92,89,86,83,80,78
195,78,80,83,86,90,93,97,101,103,108,113,118,124,132,139,150,158,169,178,169,158,150,139,132,124,118,113,108,103,101,97,93,90,86,83,80,78
190,78,80,83,86,90,93,97,101,104,109,114,119,124,132,140,152,162,173,183,173,162,152,140,132,124,119,114,109,104,101,97,93,90,86,83,80,78
185,78,80,83,86,90,94,98,102,106,110,113,117,125,130,144,154,165,176,191,176,165,154,144,130,125,117,113,110,106,102,98,94,90,86,83,80,78
180,78,80,82,84,87,89,93,97,101,106,112,119,126,135,145,156,168,182,2.05E+02,182,168,156,145,135,126,119,112,106,101,97,93,89,87,84,82,80,78
175,78,80,83,86,90,94,98,102,106,110,113,117,125,130,144,154,165,176,191,176,165,154,144,130,125,117,113,110,106,102,98,94,90,86,83,80,78
170,78,80,83,86,90,93,97,101,104,109,114,119,124,132,140,152,162,173,183,173,162,152,140,132,124,119,114,109,104,101,97,93,90,86,83,80,78
165,78,80,83,86,90,93,97,101,103,108,113,118,124,132,139,150,158,169,178,169,158,150,139,132,124,118,113,108,103,101,97,93,90,86,83,80,78
160,78,80,83,86,89,92,95,99,101,105,109,115,121,129,138,147,154,165,173,165,154,147,138,129,121,115,109,105,101,99,95,92,89,86,83,80,78
155,78,80,83,86,88,91,94,97,100,103,106,113,120,128,136,141,151,161,169,161,151,141,136,128,120,113,106,103,100,97,94,91,88,86,83,80,78
150,78,80,83,85,88,90,93,96,99,102,105,111,117,124,131,139,149,158,167,158,149,139,131,124,117,111,105,102,99,96,93,90,88,85,83,80,78
145,78,80,83,85,88,91,93,96,99,102,105,112,118,125,132,139,147,156,165,156,147,139,132,125,118,112,105,102,99,96,93,91,88,85,83,80,78
140,78,81,83,86,89,92,95,99,102,106,109,115,121,127,133,140,147,155,164,155,147,140,133,127,121,115,109,106,102,99,95,92,89,86,83,81,78
135,78,81,83,88,92,96,100,104,109,113,118,123,128,133,139,145,151,157,165,157,151,145,139,133,128,123,118,113,109,104,100,96,92,88,83,81,78
130,78,82,85,89,93,97,102,106,111,116,121,127,133,139,145,151,158,166,173,166,158,151,145,139,133,127,121,116,111,106,102,97,93,89,85,82,78
125,78,82,85,89,94,99,102,107,112,117,123,129,135,141,148,154,162,169,177,169,162,154,148,141,135,129,123,117,112,107,102,99,94,89,85,82,78
120,78,82,86,90,95,100,105,110,116,122,128,134,141,148,156,164,172,181,190,181,172,164,156,148,141,134,128,122,116,110,105,100,95,90,86,82,78
115,78,82,86,91,95,100,105,111,116,122,129,135,142,149,157,165,173,182,191,182,173,165,157,149,142,135,129,122,116,111,105,100,95,91,86,82,78
110,78,82,87,91,96,101,107,112,119,125,132,139,146,154,162,171,180,190,200,190,180,171,162,154,146,139,132,125,119,112,107,101,96,91,87,82,78
105,78,83,87,92,97,103,109,115,121,128,135,143,151,160,169,178,188,199,210,199,188,178,169,160,151,143,135,128,121,115,109,103,97,92,87,83,78
100,78,83,88,93,98,104,110,117,124,131,139,147,156,165,175,185,196,208,220,208,196,185,175,165,156,147,139,131,124,117,110,104,98,93,88,83,78
95,78,83,88,94,100,106,113,120,127,135,144,153,163,173,184,196,208,221,235,221,208,196,184,173,163,153,144,135,127,120,113,106,100,94,88,83,78
90,78,83,89,95,101,108,115,123,131,140,149,159,170,181,193,206,220,234,250,234,220,206,193,181,170,159,149,140,131,123,115,108,101,95,89,83,78
85,78,83,85,91,95,103,111,118,127,138,148,159,173,186,200,214,230,247,265,247,230,214,200,186,173,159,148,138,127,118,111,103,95,91,85,83,78
80,78,81,88,95,101,108,116,123,132,141,151,162,174,188,205,225,248,268,290,268,248,225,205,188,174,162,151,141,132,123,116,108,101,95,88,81,78
75,78,83,85,89,95,104,113,123,135,147,159,175,190,207,225,245,269,294,320,294,269,245,225,207,190,175,159,147,135,123,113,104,95,89,85,83,78
70,78,81,87,91,96,104,114,125,138,152,168,185,205,225,249,275,302,336,370,336,302,275,249,225,205,185,168,152,138,125,114,104,96,91,87,81,78
65,78,83,84,87,94,100,109,118,131,145,162,183,205,233,262,295,332,376,425,376,332,295,262,233,205,183,162,145,131,118,109,100,94,87,84,83,78
60,78,81,85,89,95,100,109,119,132,148,168,189,214,238,269,309,361,430,500,430,361,309,269,238,214,189,168,148,132,119,109,100,95,89,85,81,78
55,78,81,85,91,98,106,117,131,145,162,182,204,224,251,284,337,406,502,600,502,406,337,284,251,224,204,182,162,145,131,117,106,98,91,85,81,78
50,78,81,86,91,98,107,118,132,147,163,180,202,230,269,320,387,479,603,745,603,479,387,320,269,230,202,180,163,147,132,118,107,98,91,86,81,78
45,78,81,85,91,98,106,119,133,150,163,185,209,241,288,351,427,552,714,945,714,552,427,351,288,241,209,185,163,150,133,119,106,98,91,85,81,78
40,78,81,88,93,100,107,118,132,148,166,190,216,263,328,406,507,655,871,1185,871,655,507,406,328,263,216,190,166,148,132,118,107,100,93,88,81,78
35,78,80,85,88,94,100,109,120,136,152,178,219,288,380,504,676,910,1200,1595,1200,910,676,504,380,288,219,178,152,136,120,109,100,94,88,85,80,78
30,78,81,84,89,95,101,115,126,143,164,191,240,331,457,635,881,1200,1710,2330,1710,1200,881,635,457,331,240,191,164,143,126,115,101,95,89,84,81,78
25,78,81,86,89,96,103,114,131,145,170,195,260,390,500,740,1050,1445,2190,3700,2190,1445,1050,740,500,390,260,195,170,145,131,114,103,96,89,86,81,78
